Project ID,backers_count,deadline,goal($),id,launched_at,name,pledged($),slug,staff_pick,state,Duration,City,State,Success Rate,Avg. Pledge($)
https://www.kickstarter.com/projects/1786154185/champey-asian-white-flower,1,1499191620,75000,1786154185,1496857488,Champey - Asian White Flower,1,champey-asian-white-flower,0,failed,27,Waco, TX,0.00%,1.00
https://www.kickstarter.com/projects/1876994675/pow-wow-gathering-native-american-cuisine,4,1499558122,90000,1876994675,1496966122,"Pow Wow, Gathering, Native American Cuisine",101,pow-wow-gathering-native-american-cuisine,0,failed,30,Essex, MD,0.11%,25.25
https://www.kickstarter.com/projects/1606787927/happy-hippie-hot-dog,2,1502385791,25000,1606787927,1497201791,Happy Hippie Hot Dog,20,happy-hippie-hot-dog,0,failed,60,Asheville, NC,0.08%,10.00
https://www.kickstarter.com/projects/126095152/choose-a-restaurant-and-change-the-world,13,1499883938,50000,126095152,1497291938,Choose a restaurant and change the world,3370,choose-a-restaurant-and-change-the-world,0,failed,30,Tucson, AZ,6.74%,259.23
https://www.kickstarter.com/projects/674157965/an-honest-attempt-to-bring-a-delicious-authentic-b,2,1498865160,12350,674157965,1497325236,"An honest attempt to bring a delicious, authentic Baba Kabab",45,an-honest-attempt-to-bring-a-delicious-authentic-b,0,failed,17,Chicago, IL,0.36%,22.50
https://www.kickstarter.com/projects/1823753502/la-grosse-patate,0,1498135124,40000,1823753502,1495543124,La Grosse Patate,0,la-grosse-patate,0,failed,30,Manhattan, NY,0.00%,0.00
https://www.kickstarter.com/projects/819634046/all-american-burgerz,2,1498314351,75000,819634046,1495722351,All American Burgerz,40,all-american-burgerz,0,failed,30,Baltimore, MD,0.05%,20.00
https://www.kickstarter.com/projects/128570340/real-chinese,2,1498367174,20000,128570340,1495775174,Real Chinese,15,real-chinese,0,failed,30,Nashville, TN,0.08%,7.50
https://www.kickstarter.com/projects/353303239/pastime-public-house-local-fare-in-an-agreeable-at,79,1498368460,50000,353303239,1495776460,Pastime Public House: Local Fare in an Agreeable Atmosphere,28245,pastime-public-house-local-fare-in-an-agreeable-at,0,failed,30,San Diego, CA,56.49%,357.53
https://www.kickstarter.com/projects/1326978697/providing-new-flavor-to-north-dakota,34,1500092202,10000,1326978697,1496204202,Providing New Flavor to North Dakota!,1631,providing-new-flavor-to-north-dakota,0,failed,45,Fargo, ND,16.31%,47.97
https://www.kickstarter.com/projects/593254840/a-restaurant-that-brings-a-new-style-of-food-to-ba,5,1498853694,5000,593254840,1496261694,A restaurant that brings a new style of food to Baltimore.,207,a-restaurant-that-brings-a-new-style-of-food-to-ba,0,failed,30,Baltimore, MD,4.14%,41.40
https://www.kickstarter.com/projects/1348444367/did-you-leanback-yet,1,1498922348,16000,1348444367,1496330348,Did you LeanBack Yet?,20,did-you-leanback-yet,0,failed,30,Greensboro, NC,0.13%,20.00
https://www.kickstarter.com/projects/1402381039/javs-bbq-restaurant-make-anaheim,23,1497460519,40000,1402381039,1494868519,Jav's BBQ Restaurant @ MAKE Anaheim,4695,javs-bbq-restaurant-make-anaheim,1,failed,30,Anaheim, CA,11.74%,204.13
https://www.kickstarter.com/projects/1489650087/mooncheese-burgers,1,1498787329,60000,1489650087,1494899329,MoonCheese Burgers,1,mooncheese-burgers,0,failed,45,Jacksonville, FL,0.00%,1.00
https://www.kickstarter.com/projects/425870646/healthy-food-cafe-with-vegan-option-in-the-heart-o,3,1497494885,25000,425870646,1494902885,Healthy Food Cafe With Vegan Option In the Heart Of Mt. Airy,36,healthy-food-cafe-with-vegan-option-in-the-heart-o,0,failed,30,Philadelphia, PA,0.14%,12.00
https://www.kickstarter.com/projects/1266324703/son-of-a-booshie-handmade-polish-sausage-pierogi-a,34,1497696028,25000,1266324703,1495104028,"Son of a Booshie: Handmade Polish Sausage, Pierogi and more",2978,son-of-a-booshie-handmade-polish-sausage-pierogi-a,0,failed,30,Indianapolis, IN,11.91%,87.59
https://www.kickstarter.com/projects/502499761/diggers-bbq-expansion-funding-project,2,1497311944,25000,502499761,1495151944,Diggers BBQ Expansion Funding Project,21,diggers-bbq-expansion-funding-project,0,failed,25,Greenville, SC,0.08%,10.50
https://www.kickstarter.com/projects/229897847/big-boys-fried-rice-i-make-a-delicious-fried-rice,2,1498427493,20000,229897847,1493243493,Big boy's Fried Rice. I make a delicious Fried Rice Dish.,70,big-boys-fried-rice-i-make-a-delicious-fried-rice,0,failed,60,Durham, NC,0.35%,35.00
https://www.kickstarter.com/projects/876588144/woman-and-minority-owned-singaporeanasian-startup,1,1498617556,5000,876588144,1493433556,Woman and minority owned SingaporeanAsian startup restaurant,1,woman-and-minority-owned-singaporeanasian-startup,0,failed,60,Cleveland, OH,0.02%,1.00
https://www.kickstarter.com/projects/315786041/fidas-cafe-launch-help-bring-caribbean-food-to-lex,34,1497067140,20000,315786041,1494012018,Fida's Cafe Launch - Help Bring Caribbean Food To Lexington!,2925,fidas-cafe-launch-help-bring-caribbean-food-to-lex,0,failed,35,Lexington, KY,14.63%,86.03
